CLIENTEID,CODMARCA,DESCDISTRI,DESCDIMES
06365,110,12.0,18.0
06365,111,12.0,10.0
06365,049,12.0,10.0
06362,105,14.0,16.0
01678,098,12.0,15.0
01678,099,14.0,12.0
01678,100,14.0,12.0
01678,109,12.0,15.0
01679,098,12.0,15.0
06362,109,12.0,16.0
06362,103,12.0,16.0
06362,101,12.0,16.0
06362,098,12.0,16.0
06362,104,14.0,12.0
06362,099,14.0,16.0
06362,097,12.0,16.0
06362,096,12.0,16.0
06362,100,14.0,16.0
06362,110,12.0,16.0
00378,002,12.0,14.0
00387,002,12.0,14.0
00388,002,12.0,14.0
06645,017,13.0,14.0
00392,002,12.0,14.0
00400,002,12.0,14.0
00409,002,12.0,14.0
04772,019,8.0,18.93
00411,002,12.0,14.0
00416,002,12.0,14.0
00421,002,12.0,14.0
00422,002,12.0,14.0
04779,019,8.0,18.93
00427,002,12.0,14.0
00430,002,12.0,14.0
00431,002,12.0,14.0
00432,002,12.0,14.0
00437,002,12.0,14.0
00444,002,12.0,14.0
00445,002,12.0,14.0
00454,002,12.0,14.0
00462,002,12.0,14.0
00465,002,12.0,14.0
00472,002,12.0,14.0
00473,002,12.0,14.0
00481,002,12.0,14.0
00484,002,12.0,14.0
00489,002,12.0,14.0
00491,002,12.0,14.0
00492,002,12.0,14.0
00498,002,12.0,14.0
00499,002,12.0,14.0
00500,002,12.0,14.0
07396,002,10.0,0.0
00510,002,12.0,14.0
00511,002,12.0,14.0
01679,099,14.0,12.0
01679,100,14.0,12.0
04814,105,14.0,12.0
04814,109,12.0,15.0
04814,098,12.0,15.0
04814,104,14.0,12.0
04814,099,14.0,12.0
04814,100,14.0,12.0
07396,019,8.0,0.0
04880,019,8.0,18.93
04884,019,8.0,18.93
04806,053,12.0,10.0
07003,078,19.17,21.91
00516,002,12.0,14.0
01679,109,12.0,15.0
01680,098,12.0,15.0
01680,099,14.0,12.0
01680,100,14.0,12.0
01680,109,12.0,15.0
01681,109,12.0,15.0
00517,002,12.0,14.0
00520,002,12.0,14.0
00521,002,12.0,14.0
00522,002,12.0,14.0
00523,002,12.0,14.0
00524,002,12.0,14.0
00525,002,12.0,14.0
00526,002,12.0,14.0
00527,002,12.0,14.0
00529,002,12.0,14.0
00531,002,12.0,14.0
00533,002,12.0,14.0
00534,002,12.0,14.0
00535,002,12.0,14.0
00536,002,12.0,14.0
00537,002,12.0,14.0
00538,002,12.0,14.0
00539,002,12.0,14.0
00540,002,12.0,14.0
00541,002,12.0,14.0
00542,002,12.0,14.0
00543,002,12.0,14.0
00544,002,12.0,14.0
00545,002,12.0,14.0
00546,002,12.0,14.0
00547,002,12.0,14.0
00548,002,12.0,14.0
00549,002,12.0,14.0
00551,002,12.0,14.0
00552,002,12.0,14.0
00553,002,12.0,14.0
00556,002,12.0,14.0
00557,002,12.0,14.0
00558,002,12.0,14.0
00559,002,12.0,14.0
00561,002,12.0,14.0
00562,002,12.0,14.0
07379,019,8.0,0.0
07379,105,14.0,0.0
07379,109,12.0,0.0
07379,103,12.0,0.0
07379,101,12.0,0.0
07379,098,12.0,0.0
07379,104,14.0,0.0
07379,102,12.0,0.0
07379,116,12.0,0.0
07379,099,14.0,0.0
07379,097,12.0,0.0
07379,096,12.0,0.0
07379,100,14.0,0.0
07379,110,12.0,0.0
00563,002,12.0,14.0
00564,002,12.0,14.0
00565,002,12.0,14.0
00566,002,12.0,14.0
00567,002,12.0,14.0
00568,002,12.0,14.0
00569,002,12.0,14.0
00570,002,12.0,14.0
00571,002,12.0,14.0
00573,002,12.0,14.0
00574,002,12.0,14.0
00575,002,12.0,14.0
00576,002,12.0,14.0
00577,002,12.0,14.0
00579,002,12.0,14.0
00580,002,12.0,14.0
00582,002,12.0,14.0
00583,002,12.0,14.0
00584,002,12.0,14.0
00585,002,12.0,14.0
00586,002,12.0,14.0
00587,002,12.0,14.0
00588,002,12.0,14.0
01682,098,12.0,15.0
01682,099,14.0,12.0
01682,100,14.0,12.0
01682,109,12.0,15.0
01683,098,12.0,15.0
01683,099,14.0,12.0
01683,100,14.0,12.0
01683,109,12.0,15.0
01684,098,12.0,15.0
01684,099,14.0,12.0
01684,100,14.0,12.0
01684,109,12.0,15.0
01685,098,12.0,15.0
01685,099,14.0,12.0
01685,100,14.0,12.0
01685,109,12.0,15.0
03123,098,12.0,15.0
00589,002,12.0,14.0
00591,002,12.0,14.0
00592,002,12.0,14.0
03123,099,14.0,12.0
